,lista
19,"Dios me ha sorprendido en esta semana,una caja de cafe,cosas de la tesis,vienen cosas mejores ya sige lo de mi maestría,y una ELLA,jajaja"
20,"Te bloquee Crea cuentas huevo y solito se sigue y dá RT, porque ya no le creen sus fans. Ah qué mi paisano, ni me interesa su amistad."
21,"—Un café por favor. —El café, ¿lo va a querer solo? —No, sí quieres siéntate aquí a mi lado y me cuentas toda tu puta vida. — Ay"
22,"La única ""persona"" a la que le cuento mis cosas es un niño de 5 años, no me critica, solo me escucha y lo mejor es que entiende un poco"
23,"Lo bueno, Después de dos meses por fin un domingo libre a disfrutar. Lo malo, falte al hospital por resaca, ya no lo vuelvo a hacer"
24,"Que triste, es el primer dibujo que quiero que vea, que de verdad me gustó, en el cual me esforcé más que en otros, y no creo que lo vea"
25,"Listo, por fin en casa, a dormir 4 horas nomás. Gracias a Dios mis papás están bien y les está yendo chingón. Ahora yo, a chingarle salu2"
26,"Hay un niñ junto a mí jugando a preguntarse ""¿eres o te haces?"". Saben que la respuesta correcta es ""soy"". Nada mal, nada mal."
27,"Estoy en el ""Taco loco""venden más sopas,carnes, bebidas que tacos solo hay de bistec, pastor y chorizo. ¿Que clase de taco loco es esto?"
28,"Pues yo leo que a muchos ""Luke Cage"" les ha parecido malita. Pero uno ve y tiene un 8.2 de promedio en RT. Al menos abre al debate"
29,"Ni cigarros, ni galletas, ni caldo de camarón, ni michelada, ni papas a la francesa ... Qué clase de vida es esta??!!!"
30,Porque the City? alcohol adulterado y exceso de gente. Es pesimo! He ido 2 veces y las dos me la pase del asco. No quiero ir otra vez
31,Me falta 12.32% para acabarme Just Cause 2. Este si es juego y no mamadas de Yirs ni FIFA papi. Ojalá tuviera Just Cause 1 en el xbox
32,"#SiQueríacontigoPero te mama YURI , LA TREVI , ANAHI , LAS JEANS!! ... Te enchilas si se meten con BRITNEY. No pues mejor así, COMO!!?"
33,"Lo bueno que el ojete fui yo y que lo unico que me pese es no haberte dejado antes y calleras, pero no te deseo el mal n.n. Ya no más."
34,"Qué feo ha de ser que tu novi@ se vaya de viajey tu estes de que: me muero por que regreses, ya no puedo vivir asi y esas cosas, apoyalo"
35,Yo - oye no aventamos 3 palitos al hilo Ella - ya se. Oye años de na mas 1; eres un tigre... A mi distinción erectil le gusta esto...
36,"Y me ha pasado con Carlos, Roberto, y una larga lista de amigos con los que la gente cree que me revuelco. Pero no, porque soy una ñoña"
37,"Papá: vamos al beis Hijos: SIIII Mamá: no, vamos al cine Papá: al cabo que ni ganas de ir al beis tenia, que función quieres? Hijos:"
38,Haré un libro que se llame: las mil y un millón de formas de cagarla. Obvio para que no hagan todo lo que yo hago y así tengan éxito.
39,"@Samm_Bntz Bebé, no sé si sea error de dedo cuando ando de chismosa o es que a Leos y a ti, no los quieren en mi lista de amigos en insta"
40,Uju!!! A estas tempranas horas de la noche ya sólo me falta leer como 70 mensajes de whats que chido que me gusta Leer verdad!! (n.n)!
41,"@zommix no, que pendejada, ya se pelearon y ya se contentaron, y ahora la mamá ya le leyó la cartilla al guero, ya no lo va a dejar verla"
42,"@esgarrTAM ¡Gracias a ustedes! en verdad siempre se lucen en sus conciertos, nos hicieron muy felices miles de besos y abrazos"
43,"@IslaReality #IslaRevancha, Ferka, era por Tony, Ivonne,Rafa,Delia, y Uds, 5 votos Vs él, no por Delia, siempre hay qué ir, más fuerte"
44,(6:30 am) -Viridiana dónde estás? No piensas llegar! No tienes llenadera!- Yo: mamá estoy dormida en mi cuarto Mamá: Ah sí ya te vi
45,"O sea no es que sea mal pedo , pero si uno no puede venir a tomar a su casa con amigos pues los demás tampoco se quedaron sin fiesta. Ups"
46,"Me enoja que otros me tiren la onda, que me inviten a salir, que se porten buena onda y que el que me gusta ni un pinche hola."
47,"Pues yo digo que todos aquí son felices, cada que les pregunto como están dicen: ""Bien"" en vez de ""De La Verga"" Para mí es suficiente"
48,"""No hagan caso de nada de lo que diga Brenda, está tomando Tkt roja desde la 1 pm"" ""y Budweiser desde las 6pm"" atte. Sonia."
49,"Les juro, estoy solita en mi casa y no sé si es sugestión, bajé al cuarto de Lim a dormir y ya me arropé, sólo pido que ya vuelva"
50,"Hoy reafirme que soy un adulto y no. 1. No necesito pedir permiso a nadie para ir a algún lugar. 2. Me sigue dando miedo ""It"""
51,@MayezPalacios No mames! No son fieles ni a su propia raza!!! Ya no sé que esperar lo malo es que tengo una coneja y es igual. Complot
52,"Buenos días!!! No te enojes. Recuerda que la gente no te hace cosas, la gente hace cosas y tú decides si te afectan o no... Besitos"
53,"Es que, quizá, el miedo al amor, nos hace estar con las personas incorrectas, pero ""seguros"". Esta noche me duermo con un sabor amargo."
54,Ya me cansé de ver los juegos de la #LMB que se terminen muy noche.. piensan que uno no va a trabajar al día siguiente. O que pedo???
55,"Oigan no, no nos hagan eso a las locas, madrugar no es pa nosotras. Así que, cadena de oración pa que pueda dormir aunque sea 3 horas."
56,Ayer fue cumpleaños del amor de mi vida que ya no está en mi vida pero que fue y será un buen amor en mi vida. Ojalá la haya pasado feliz
57,Me dijo : ¿ Y no crees que te esta cayendo mal esa terapia ? Yo no veo cambios y antes no te ponías asi!? Lo hacias y ya! Jajajaja
58,"Igual y estoy mal yo, pero con lo del tiburón que se mete a la jaula, ¿Soy el único que le preocupa que se lastimó, se ve que se cortó!"
59,"Ayer un canadiense me preguntó que a que hora abrían el local de arriba, le dije que a las 10, eran las 10:10 y él dijo ""oh, mexican 10"""
60,"Pero ya siendo serios les respondo algo así como: ""Fanon, F. (1965). Los condenados de la tierra. México: Fondo de Cultura Económica."""
61,"Es taaaaaan triste que teoría de juegos este en mi plan de estudios en la UAM, pero no en el campus al que voy a licitar en España."
62,"Hoy por fin no cene comida de la calle, hoy fuimos a walmart y comprams para que yo le hiciera de cenar, dsps de toda la semana cenar mal"
63,"No ire a la facu porque esta muy feo el clima no hay taxis, Uber, mi mama no me quiere llevar, no me quiero mojar, pues me duermo"
64,Y desperté y me fui llorando con mi mamá. Desperté en el sueño como unas 5 veces. Nunca había batallado tanto. Me muero si me pasa sola
65,"@GaCaela ya sé. No te vi en ésta, pero me contaron de ""la modelo se paseó desnuda como si nada"", y pensé en tu primera vez toda nerviosa"
66,"@weexmx Un mes esperando mi chip 4G, no llego y me piden que de otra dirección con razón desconocida, voy al 7 eleven por un chip, no hay"
67,"@Dianybony jajajaja claro que no amor!! te amo mucho, ya te estoy esperando en el aeropuerto!!!! Ya sal, que te quiero veeeer!!"
68,"Hablar con mi amiga Sheli y me cuenta que anda viajando, de fiesta , que la uni se la suda... Me hace sentir bien y que yo soy feliz"
69,"@Extranjerodm exacto, la foto la tomé en la rueda de prensa, pues yo fui al que Fey subio y difundo mis fotos como ""esto es lo que hago"""
70,"-Y te pidió perdón o algo? -No -no te habló? -No mamy -Y tú a él? -Menos, ahora lo odio -Muy bien, ni se te ocurra hablarle"
71,"En 15 minutos, subiré un nuevo video a mi canal de youtube, es un pequeño regalo para que se lo empiecen a pasar de agasajo este viernes!"
72,"Días!!! No tengas miedo de vivir, rómpete el corazón y el alma, que la vida se nos da no para regresarla intacta, sino vivida... Besitos"
73,"@EseRover seh, ya me dijeron que siguen negociando talentos. Pues mira, si voy. A menos que algo se caiga. Y el 17 hago show en GDL igual"
74,"En ruso me quedé en nivel medio. La vida, el servicio social, el fin de la carrera hicieron que me separa por un rato de mi amors."
75,@PalestraAgs no cabe duda. Esos son los niños fresas amigos del Peña Lento que no saben ler. Cómo? Aaah no saben LEER. Viva México! !!!
76,"@diego_galvan se lo llevé a la sra q me lo cuida trae tos y flemas, y el grande del estómago, algo le cayó mal 2 hrs más!!"
77,"Días!!! Sí te caíste no importa; levántate,continua y haz a un lado la piedra con la que tropezaste, para no caer de nuevo... Besitos"
78,"@SayiRuiz Es que el mío dice Editar Perfil. :v jaja, no sólo se cambia el nombre... No el username, ya mejor me espero a estar en PC"
79,"Lo lindo d usar Loquendo o mostrar mi cara es que los canales de salseo te ignoran, las redes no te verif. y marcas no te toman enserio."
80,"Buenos días!!! Cuando la vida es dulce, da las gracias y sonríe. Cuando no es así, da las gracias, crece y aprende... Besitos"
81,"Ojalá se ponga de moda tener un poco de respeto y educación. No sólo des like, aplícalo en tu vida! No aparentes cosas q no son! #anotele"
82,"Y sí, siempre he dicho que la Navidad no se trata sólo de regalos, pero me siento mal porque no he donado regalos para los niños este año"
83,"Oye niña, qué no te buscan en tu casa? No tienes ni mayor de edad. Yo llego 30 min después de la hr acordada y me súper regañan."
84,Ya no sé que hacer con mi serie de fotos final. No pensé que me iban a gustar tanto las fotos que tomé hoy y ahora no sé que hacerr.
85,"Entre mas creces, mas cuenta te das de cuan triste es la vida, de que no todo es bueno y de que nada es eterno. Bendita infancia"
86,"Días!!! Entrena tu mente. Vives como piensas. Elige lo amable, lo bondadoso, lo consciente, lo sano, lo creativo, lo alegre.. Besitos"
87,"Lo único que vamos a extrañar de Eruviel,será la canción de ""Yo soy mexiquense"" en cada evento Por supuesto que no!No puedo odiarla más"
88,"En un ataque de desesperación, puse a cargar mi celular con mi laptop en plena central porque me queda 5% de pila y aún no pasan por mi."
89,@SBecqer Hola! la lvl 30 me la regaló noska en el 1er megaSorteo. La lvl 32 me la regalo también pero era lvl 30.Y la lvl 27 se la compré
90,"- Mamá, cuánto tiempo viven las putas? - Porque hija? Te sientes mal? Jajaja - Mamá!!! - Hay aparte de puta, sentida... #AsiLasCosas"
91,"Pacífico (cerveza) Mariscos Gustavo Cerati de Fondo *no es la Paz BJS, son las playas de los Reyes la Paz, de este hermoso estado de MX"
92,estoy a 7 de llegar a los 500 seguidores! gracias a todos !!!! arriba el se !!!! arriba yo pero de unas vergas ricas
93,"@YouTube lo que voy a hacer el lunes no es por ti, es por nosotros te amo y te quiero mucho  eres la única real para mi"
94,"q lindo q 1 vieja maquillada 5 tonos + claro, q c cree asiática y q comparte memes horribles, piense q es mejor que yo en cualquier cosa"
95,"Llegue a casa, había una caja q me mandó la ex y dentro estaba mi amada PS3 (Los niños sonríen) Pero no trae control (Los niños lloran)"
96,"La única a la que le voy a decir es a mi novia. Así que si no me estás pagando ningún recibo de mi casa, no estés chingando"
97,"Yo no le deseo el mal a nadie, pero a veces se agradece, que todo caiga por su propio peso.....:.. Muy buenos días tengan todosssss usted"
98,"—Ma, ya no quiero ir a la escuela. —¡Tienes que ir! —Ah, chinga y por qué. —Pues tú eres el maestro, cabrón. —Asicierto."
99,"Buenos días!!! Aprende a confiar. Si hay silencio, déjalo aumentar, algo surgirá. Si hay tormenta, déjala rugir, ya se calmará... Besitos"
100,"—¿Que crees, amor? Estaba platicando con una amiga y... — —¿Ya te enojaste? Pero si es buena onda. — —Te amo, amor. —"
101,"ya esta hannibal s3 en mix up pero esta muy cara y no vale la pena el gasto si fue la temporada que menos me gusto,esperare una oferta"
102,"Hablando de miradas lascivas, yo una vez vi en el metro a un maldito viejo, que no dejaba de ver a una niña de la secundaria con uniforme"
103,Hoy un señor en el súper me dijo señora. Tengo dos teorías: es un pendejo porque agarro mi carrito en vez del suyo o real me veo vieja
104,"a pesar de ser lunes y de que no inicie con el pie derecho, hoy nada me dará bajón, ando motivada con la tesis a dar el power amigos"
105,Buenos días pipol ️ Voy de camino al doctor que me cuesta respirar :c sí muero en el camino recuerdenme  ya no aguanto la gripa >
106,Es mejor darle el corton a la gente q ponerse a discutir por cosas que ni ellos mismos entenderán!!! A desayunar papus!!!!!!
107,"Nuevamente fin de semana, cada vez más rápido, ya casi termina el año.!!! Espero que dios le haya dado la mejor de las semana!!!"
108,"Hoy amaneció nublado y con frío! El día está para no salir, ver pelis y comer pizza! Bonito viernes y buen fin de semana para todos!"
109,"Buenos días! Si permites que tu corazón sea tu brújula, tu mente sea tu mapa y tu alma sea tu guía, entonces nunca te perderás... Besitos"
110,La sonrisa es el único virus que no hace daño al alma. Siempre sonríe;;Calavera de la Suerte>>
111,"@MartinCaligaris Tu forma tan linda de decir: Borris Chavez!!! Gracias por el saludo, ya prontito nos vemos, abrazos México papá!!!"
112,"Buenos días!!! Lo que has hecho con amor regresa a ti. La recompensa viene de arriba y llena tu corazón, no tu ego... Besitos"
113,"Fui a @Cinemex x lo cerca que esta de mi casa solo p ver q no tienen ""La Llegada""  #fail ya estoy en @Cinepolis , no hay como en casa!"
114,#YaNoHayDePastorJoven un golpe muy bajo
115,@HectorBrockwell excelente con de semana
116,"@PLLadictos I need you help! Siento que soy la úmica que no a superado Gossip girl, como tu con Stelena asi de mal estoy..."
117,"Todo el año perros be like: -GUA GUAAFFF ARGG GUAAFF A LA VERGA PUTO GUAF. En diciembre perros be like: -Ay ay los cuetes, tengo miedo"
118,#EmpiezanLasPosadasY yo ya soy gordo
119,@AlbertoVill descubri que soy celosa
120,@rubialvc @MirthaYudithOF @gizbetan eso fue único jejeje
121,"Hoy pasé frente a una tienda y noté que ya no le quedaba casi nada de pan Tía Rosa, solo mantecadas de chocolate. Son tan poco valoradas."
122,@karycruz24 @rashel09 @rosiles_meza @Crisstyrc @analu31090 Gracias mi querida kary
123,"@elgolfo Esta es la segunda vez que los veo y sí, muy pichicatos con los hits, ""NY City Boy"" de mis favoritas y nunca se las he escuchado"
124,@leondaraki @mx_df no sería mala idea
125,#QuisieraQue la gente fuera eterna
126,@SinCosquillas urge empedar contigo bb
127,@MauHCorona #EsTiempoDe pensar las cosas buenas
128,que triste de verdad @Rayados @PueblaFC @PumasMX @SanCadilla
129,"Buenos días!!! Lo q hoy seas capaz de sembrar, será lo q mañana cosecharás. Tu futuro depende de lo q realices en tu presente... Besitos"
130,"Llegar y encontrar la mención de Jesse y la foto, es tan hermosoooooo!!!! LA AMO!!!!! En verdad grite!!!"
131,@ViajerosAccion Jajajaja buena buena foto
132,"Nota a mi mismo: no iniciar una cancion con frases como ""recuerdo el dia en que te conoci"" o "" caminando por las calles de mi barrio """
133,Eres un pendejo Pulido @puliidooo
134,"A como veo las cosas, no me va gustar el resultado final de este partido.. No hay manera Si un equipo juega a Ganar y el otro...."
135,"@Juan_Mpc No me gusta mucho el agua, así que aire o tierra. No, mejor tierra porque si es aire de seguro es un pájaro y no me gustan."
136,"Todas las putas gatas a las que les cago es porque un wey se fijo en mi y no en ellas, neta no es mi pedo, pinches feas"
137,@eli_rivas10 @Madonna @pedrosola @chabelooficial @LAURAZAPATAM JAJAJAJAJAJA ay te extraño
138,Es mala la calentura #AlexAlAire #SabadosImpactantes #YaFMVilla #Musica #PorSiTeLoPerdiste
139,"Un amigo de mi hermano que me gustó toda la primaria y secundaria (casi) me dijo ""Te quiero fea"" y bueno chtm, no es cuando quieras"
140,"@cmercadoo si, pero tu le vas al Atlas, al Ame y a no se cuantos mas... sorry por los acentos, este teclado del ipad me tiene loca"
141,@SanCaReforma @pablitobarrera Es por salud mental
142,Sera un To3 CC  Timebomb el dia domingo 18 de Diciembre a las 8:30 hora de Mexico. Pueden mandar sus teams apartir de ahora. Es libre
143,@iFabilalala Deja de burlarte de mí NO :; pero si me fue bien y aprendì mucho Ademàs tengo salud y màs cosas maravillosas jajaja
144,"Días!! El secreto de la buena salud es vivir el ahora. No eres dueño del pasado, no sueñes con el futuro. Solo el presente te pertenece.."
145,@TrusaRota ha si ya vi si se ve buena!!! La pondré a ver si no me duermo dura un buen jaja pero se ve buena!! Mil gracias
146,@kymposiblee eres bien mala onda
147,No cabe duda qe los qe mas quieres son los q mas te lastiman t apuñalan por la espalda perdi a la persona q consideraba mi segunda madre
148,"Me duele saber que en mis relaciones soy super fiel y pendeja y al final resulto ser la mala o por pena ""No te quería hacer daño"" chsm"
149,Le acabo de decir la neta a un amigo porque trae pedos con una morra y se enojó conmigo. Si ya saben como soy pa'que me preguntan
150,@MarioBautistaMB @mariobautista_ te amo un buen
151,"Estoy tan sad pero tan sad de los conciertos anunciados a los cuales no iré y la pinche Ruby con su guitarra, me deberían patrocinar a mi"
152,sé (o eso espero) que me va a dar una estabilidad económica en un futuro pero pues no sé no sé quisiera sentirme más desbordada de deseo
153,"no puede ser que ya no me pueda ni eresar en esta red social por qué todo se lo rolan a mi mamá, créeme que no ayudas en nada"
154,@wendolencha es que pinche partidazooo
155,@MarianaGrarod @dctorre ya puedes ser feliz
156,@karenvaldis en forma de recalentado
157,"@iaz84 jajaja no ser Maléfica, de verdad la comida esta muy mal y el servicio igual, con las ganas que tenia de un buen coctel y caldo"
158,"@raticorns Pasé algo similar, el regalo genial (una de esas cosas donde pones tu cel y se ve 3d) pero mi cel es viejísimo y no funciona"
159,"@estarc62 No podía dormir y prendí la compu a las 4am y no sé como ngaos di con tu testimonio Mariano, escuché la misma voz q tú,GRACIAS"
160,"Cuando era niño e íbamos a Gigante, se hacía lista de que se iba a comprar y siempre bien limitados. Hola ese dejo de ser un problema"
161,"@nataliaenlu jajaja que pena, soy metiche. Es que mi mama si me dijo de pasar año nuevo en la playa pero ya no hay espacio en ninguno"
162,"Desde que tengo uso de razón todos mis fin de año han sido en casa de mi abuelita, este año será distinto y triste, te extraño tanto abu"
163,"Aaahhhhggg Noooo!!! Esa frase no!!!! Malditos hombres (frustración momentanea) sorry, no los odio... Bueno no a todos!"
164,"@hugo_mcc ayy si quería, pero mi familia ya no tiene vacaciones y nos iremos antes pero volveré en enero yo sola y a ver que se hace"
165,"tengo mucho miedo de que los del sur no quieran venir a la AN sólo porque es en CUU pls animense, yo los hospedo, los quiero mil"
166,@TonsqueAxel @YouTube te extraño como loca
167,Que feo se siente o más bien que mal me siento al ver que se están robando un carro y el cabrón te ve cuando lo esta haciendo
168,"Me había acostado y recién me levanto y son las 6:34, yo pensé que ya iba a estar todo listo, la comida y el escabio en la mesa ahre"
169,Esta súper raro por que el año pasado vino a buscarme a la puerta de mi casa y yo ya estaba en el camión de regreso a puebla
170,"Una señora alza la voz,le piden no gritar,ella dice con usted no estoy hablando...entonces por qué habla Tan fuerte...me aturde"
171,"Buenos días para todos, menos a esos que ya están de vacaciones, a esos no Ojalá los levante su mama para hacer el desayuno. Jejeje..."
172,"Úrgeme irme a vivir solo, donde el baño sea solo para mi y pueda cagar a la hora que se me hinche la pinche gana sin que esté ocupado"
173,A mi papá le regalaron una bolsa de café artesanal y un termo y estoy muy celosa porque a mi seguro me regalan una camiseta o asi.
174,@elblackcat eso es muy probable
175,me traje un kitkat porque ya sé que a mi mamá le da por cortar carbohidratos de putazo pero tengo aquí 23 horas y ya me lo quiero chingar
176,No soy fan del fut pero mi hermana me puso ver la final a partir del 1er tiempo extra y debo decir que estuvo muy buena #TigresVsAmerica
177,"Hoy Marihana probó: carnitas, nieve de Patz, raíz de chayote, changungas, sopa tarasca, mole, enchiladas, natilla... espero no se enferme"
178,"@MurrietaObed pues si  y realmente la pase muy mal el es como mi segundo papá, crecí con el y todo lo que se de fut es por el"
179,-Si yo con 4 meses dejada me acuerdo hasta del día en que me agrego a face osea yo mega traumada time. Y ella 23 años como si nada.
180,Te quise como se debe y no fue breve aun no te puedo olvidar que mas da si ya no vas a estar pa cantar y fumar como siempre...
181,"Happy Birthday!!!! Ya eres legal, dtb hoy y siempre, mis mejores deseos te quiero mucho y al rato te veo"
182,Acabo de hacer algo muy triste jajaja la señora que limpia mi casa trapeo y yo baje y pise y no sabía que estaba trapeando y creo ensucie
183,"Si me caes bn lee esto, si no sigue tu camino jajaja ....Feliz Navidad pasenla súper bn y que santa les de muchos regalitos .. Los quiero"
184,Cómo cuando tu mamá te manda a buscar algo pero no sabe que ahí están escondidos los regalos de navidad y de paso me regañan chale jaja
185,@Diegoork ya urge nuestra pijamada
186,"Ya estoy en mi casa maigues, no morí. Bien pinche adolorida pero ya en mi casita. Pd. Me quieren llevar al rancho pero yo no quiero"
187,"@AssenethSoto no es eso amor, es que yo no iba contigo pues por eso no está padre el avión... Jajaja... TE AMO , ya regresate"
188,"@AngelaDelRioM hola preciosa. A pesar del frío, mis ganas de verte todos los días es mas grande, ya que me alegras con tu bella sonrisa."
189,"""Aunque la fresa se vista de seda, peda se encuera."" Ahora un nene perdiendo la razón por repetir lo que le dicen."
190,Filosófico: Estoy hasta el pito d muchas cosas. Creo q he alcanzado mi siguiente nivel d cinismo/valemadrismo. El año d mis 30 pinta bien
191,"Días!!! Busca tu centro. Enfócate. Sé feliz. Agradece. Incluso en los momentos más desafiantes y dolorosos, la gratitud libera... Besitos"
192,"@ATTMxAyuda @ATTMx Olvidenlo, Ya vi que si lo que quiero comprar cuesta $150,debo de tener más de esa cantidad en saldo, y no lo exacto"
193,Ah cada rato entro a los Md's y checo los que le mande a Brandon haber si tan siquiera me aplica el visto pero nel pastel
194,"Es triste cumplir años el 2 de enero, casi nadie recuerda que cumplo años por las fiestas de fin de año y además los pesco ya sin dinero"
195,"@LOMMX te amo porque te pones en su lugar a todos, eso mero! Las mujeres somos las que tenemos que arreglar todo el changarro me cae"
196,"serías tan dispersa en no darte cuenta q tenías ganas de hacer pipí.. qué bonito tu mundo no regreses a éste, de no ser necesario. calita"
197,"Lo bueno que tengo amigas si no, ni hablaría con nadie más que contigo por whats benditas amigas las amo ya no hablo con niños jaja"
198,@Cochy_Tj llena de bendiciones jaja
199,"Que feo es encontrarte a tu súper crush de toda la vida, te sonrie y ni tiempo de agarrarte él corazón te da por que vienes con tu novio"
200,"2/2 hay tantas cosas que nos pueden dar satisfacciones, sólo hay que saber que es lo que uno quiere y no perderse...Buen inicio de año"
201,"@jeri4queen sí, y ps no es mi caso. Quiero decir, ps... no soy taaan buena. Trabajadora sí, pero buena, buena, no"
202,@Cochy_Tj ley de vida asi nos pasa a nostros la que te gusta no le gusta y a la que le gustas no te gusta que dificiles somos la neta
203,Para que me robaran 4 millones de pesos como en la casa de Andrés García me tendrían que robar la casa con todo y casa y ni así
204,la lencha de mi proveedor de cristal me esta acosando y me tengo que dejar para que si me de el material rapido  Dios mio
205,"@mpamanes gracias por el comienzo con Always be my baby (que aquí entre nos me dedicó Mariah) ""Time can't erase a feeling this strong"""
206,@GuadaVeryGudSup Un feto muy bonito
207,"@Mumusiraneitor bueno, hoy duermo temprano jeje linda noche y disfrúta al máximo (a la hr que lo leas), tqm ...!!!"
208,"Son las 2 de la tarde y apenas me di cuenta que no traigo nada del ""kit"" para año nuevo .. Ni siquiera el bóxer rojo."
209,Al rato a preparar la cena de fin de año con mis hijos Al rato a Misa a darle gracias a Dios por un 2016 lleno de ilusiones y sueños
210,"Gracias por todas las atenciones, el talento, y por soportarme este año! @MarianaHeAg que siga el éxito y la mejor de las vibras!!"
211,"@favaritx Que 2017 sea un gran año para ti, una de mis personas favoritas en este mundo. Que este año nos volvamos a ver y abrazar"
212,"Iba a escribir algo inspirador para este cierre de año, pero con un simple y sincero: ""deschinguen a su madre todos"" es suficiente."
213,Ya casi es año nuevo y no han tuiteado la imágen del viejito con un 2016 y del bebé con un 2017. Mátenme ya ALV
214,"""No te puede gustar algo que no sabes hacer"" - Mi pequeño primo Julián, 7 años, sabe más de la vida que yo"
215,@tomo_como_rey Feliz año washitos!!! Les deseo lo mejor del mundo y les mando un fuerte abrazo!!! Que nos volvamos a encontrar en el 2017
216,"Eres bien divertida y me das mucha risa, siempre andas de buenas y eso me agrada, eres muy buena persona, ya no tengas tantos crushes"
217,"Me siento del pinche pito a la verga, en verdad tengo que dejar de tomar Y todavía quieren beber más hoy, Y MAÑANA ES 31 no mames"
218,serías tan dispersa en no darte cuenta q tenías ganas de hacer pipí.. qué bonito tu mundo no regreses a éste de no ser necesario; calita
219,Días!!! Suelta las viejas creencias. Cambia tu energía. Cruza los límites imaginarios. Usa tu corazón. Libera tu niño interior... Besitos
220,"La edad me trae fugas... de sentimientos, buen juicio, buen gusto, sentido común, prudencia y cortesía. La incontinencia aún no me llega"
221,"Si fuera bien idiota. Ya hubiera comprado un Alienware cn mi quincena al chaz chaz, pero se viene el ISR..."
222,"@JuanTaleb Naaa que postales tan hermosas Taleb! Feliz año!!! Te mando un abrazo, gracias por este año tan lindo, fue bonito conocerte"
223,"-Mamá ya quiero cambiar de lentes están bien rayados. *horas después, mi hermana rompe mis lentes* Yep, es hora de cambiar lentes."
224,"A la verga 2016! Me trajiste mucha tristeza pero espero el 2017 sea de lo mejor, a darle pa adelante q para atrás ya dolió bastante"
225,"@MiroslavaMont: Recibe un cálido y fuerte abrazo desde San Luis Potosí, S.L.P. P.D. Ya casi tu cumple!! n.n"
226,"@CarolinaPadron: Hola, te deseo un feliz año nuevo 2017 lleno de salud, abundancia y éxitos. Te mando un fuerte abrazo"
227,ese triste momento en el que te das cuenta que se te acabaron las vacaciones y que ya casi es hora de volver a la realidad...
228,"@anabrendac: Hola, paso a desearte un feliz año nuevo 2017 y que esté lleno de salud, abundancia y éxitos para ti y para los tuyos"
229,"@carlacarrilloof: Y todo lo mejor para ti y para tus seres queridos. Recibe un cálido y fuerte abrazo desde San Luis Potosí, S.L.P. tqm"
230,"ONQ16, IBExams, Grad.PrepaTec, VemRD, Grad.IB, ITESM INQ, EMRIA. Fue un buen año #2016 y el que viene, mejor!!"
231,@evelyyncassio lo mejor para este nuevo año Evelyn! Q venga más futbol y más aficionadas como tú! Te mando un abrazo que Dios te bendiga
232,"Mi último tweet del año. 2017 va a ser un año muy perro en muchos ámbitos. Pero puedo con él, va a traer muchas cosas buenas"
