,lista
21,@pastafruli Te hamo juerte guachita!
22,lo único que quiero es saber si sharon sabe a quien se refiere rey y si matteo se queda o se va nada más disney #TerminoSoyLuna
23,@diebamu debe tener la duda si convoca a los de la altura o a los del llano o los que se adaptan a las dos !
24,@ber_uy Lindo buzo por cierto
25,@wilfredotuntun se vienen tiempos dificiles
26,@rickymanjarrez miraré el programa completo y ya esta gracias me encanto lo que escribiste sobre marc y jlo en la foto q RT Gracias!!
27,Pensar en esa posibilidad nada mas me parte al medio y no quiero saber si llega a ser asi como me puedo llegar a poner
28,No me dejan irme tranquilo
29,"@SoyAria Hermosos! Hoy Cris fue tt otra vez, como en cada final de GH, a años de q haya sido ganador. Fue el mejor!"
30,Todo depende de ti. La ayuda es buena Pero todo lo que pasa y va a pasar en tu vida va a depender únicamente de vos
31,@_anatabeira que bien ! cada vez que salgo la gente me saluda pero el otro día salí con la del FA y fue impresionante !
32,"@perezfedullo si ! y el que votaba observado era uno adentro de otro, pero si votó mucha gente y eso esta muy bueno !"
33,"@pablosilart En la escuela te deberían haber enseñado que lo sano es tratar de superarse a uno mismo, no mirar a los otros @JavierdeHaedo"
34,"@GScharrua ¿Y tu? ¿Contame que les dan a las focas en el zoo? jaaja Gracias por hacerme reir gratis, TODO LO DEMÁS TU GOBIERNO LO COBRA"
35,@DeLaFigurita Si obvio! unos patines
36,Tarde con mi peque #Broh
37,@PPTeamLesslie me pone taan triste q no puedan venir a uruguay o no quieran y no hagan un show asi ojala vengan y hagan algo como en arg
38,@Will2380 ¡Hola! Cada uno es para una funcionalidad de la app Si nos envias un mail por privado te lo podemos elicar al detalle!
39,"@agusti_pena No te creas Agustín, te paso el dato q antes habían 7 mujeres x cada hombre y ahora hay más hombres q mujeres, así q PILAS"
40,"@Enana1515 Lo se,pero ahora entiendo lo que es querer y no ser querida,yo se que voy a superarlo y estar bien,mientras nunca me dejes vos"
41,"@Enana1515 NO TE LO MERECES ESO ESTA CLARO,pero de esto se trata de superar todo yo estoy al firme mami y ya van a llegar las buenas"
42,"X un error ""inexcusable"" d un fiscal y una jueza q absolvieron a un pedofilo,ellos fueron trasladados y no sancionados. Justicia? No hay."
43,yo soy una persona que cuando es sabado o domingo se queda dormida hasta las 1 o 2 de la tarde jajajja :V
44,"me gustaría volver a sentir q tu me miras, sentirse la única persona en tu vida, rozar tu cuerpo sin preocupación alguna y ver como me"
45,@acules cómo lo subiste? Yo lo único que puedo hacer es dar dar el cel contra la pared y no sube de nivel nunca
46,"@louisaphire mi botella de agua fav gracias por ser tan linda conmigo y siempre apoyarme en todo, te mereces lo mejor te amo y te extraño"
47,Que hermoso esta el solsito
48,Hoy la veo poquito creo
49,"@DrLMelchor Muy bueno lo de ""... y creemos una Real Sociedad de Cientificos... Bueno, o Real o no!"". Muy de acuerdo con lo que dices"
50,Estoy twitteando mucho para olvidarme que cerca de casa esta lleno de cosas voladas y tengo el mar a punto de romperme la ventana
51,"@ValenTamara3 es una adolescente lesbiana, re callada, rara. No está mal la película pero como te digo, capaz no te cuelga. De nada"
52,@joelalsolo ta bien hablo de penarol ! viste que le ganamos a lanús que fue el campeón de argentina y ganamos la copa río de la plata ?
53,@tatyynacional pero si estoy sentado
54,@GroseroKesman @perezfedullo seguramente nacional se dejó ganar por que el q tenía que festejar era fénix ! por lo menos así lo veo yo !
55,@sebtsb ay seb como haces para usar zapatos sin medias otzea a mi me lastiman todo arriba de él talón btw esos son los Adidas que quiero.
56,"@dannyviLe Lo que no es razonable es que tres encuestas, hechas en la misma fecha, le den 2%, 3% y 8% Todo puro humo."
57,Me sigo sintiendo re agotada
58,Direectv y otros momentos lindos
59,"@Alita_ntvg Te amo con todas las letras.. halla y acá. En buenas y no tanto. Ahi estoy, siempre con vos. Como vos conmigo, bombonazo."
60,bien @PlazaColonia ! no ganaron y no perdieron x goleada en los 90 y ganaron por penales ! no era lo q quería pero bien x ustedes
61,"@auronftomg lol, eso es horrible En Green Day dijeron que este año sale uno nuevo, ya me estoy impacientando y el hype is real"
62,"@perroju666 Tenemos, pero (1) no dura nada, porque la carga es terrible y (2) reemplazar las baterías nos sale carísimo y nunca hay plata"
63,@EuniceCastroC a mi tambien me gusta la primera ves que la vi fue en una revista de national geographic .tendria 10 años besos bella
64,Che náutico! ahora vas a saber lo que es sentarse ante un juez. Mirá que se mueve la cosa por suerte para nosotros #JusticiaPorSofía
65,Los mejores abrazos sin dudas
66,@mvdsister @elpaisuy my god!!! Se sabe si hay alguna tolerancia? O venderemos el auto xa pagar multas? Cdo tienen razon la tienen
67,@joelalsolo a mi sobrino mas chico se le había roto la t la g y la b ahí eras un poco complicado hablar con el !
68,Igual nadie quiere conmigo ajjajaj
69,Esto de tener un hijo ya grande es una ventaja .... lo podes mandar a la sociedad a buscarte los remedios ... cco @nicolascabrera4
70,@_anatabeira no ! lo que pasó es que me agarró en av.giannattasio al lado de TI y no en lugares lindos como a ustedes !
71,"@AYATOlSMINE @LEVIFANCY Es un header de arctic monkeys pero está re bueno el icon, lo hice hace como 3 años, lo uso desde el año pasado"
72,"Loco yo desde el sábado estoy pensando en lo divino que es el hermano de Vanesa Britos jajajaja, eu queria uma foto com ele nao com ela"
73,"@cuervotinelli @MathiCalfani lo mejor para vos De un fanático ""azulgrana"" (de la UA)Te lo merecés...Sos tan crack que zafaste del clásico"
74,"Primero fue buscando a Nemo, hace un par de semanas a Dory y ahora a un Pokemon Jonny la gente esta muy loca!!!!"
75,el agu me dejo solo
76,"@gen_ghibli Vi Kaze Tachinu hace dos noches... Me encantó, aunq es diferente a lo habitual de Miyazaki. Y lloré en el final..."
77,cartoon network censura las parejas gays en steven universe y no censura el humor negro de gumball o la violencia de dragon ball z hdps
78,"¡¡Buenos días!! Ya somos 996 en el canal, así que hoy tendré que grabar mi reacción llegando a los 1K Que pasen un #BuenViernes"
79,"Solo porque es viernes yo sigo en la cama y me da igual llegar tarde... Igual, ya me estoy levantando...tampoco vamos a abusar..."
80,@MarioGorgo @Dennis08481468 @huesopintos eso fue lo peor ! y el cooper no me lo compro ni loco ! tengo mejores opciones y mas baratos !
81,Un Gorditoo lleno de sentimientos
82,"Tranquila, lo vas a superar.. solo estaras tristes unos dias. .desahogate, llora.. no hables con nadie.. solo sacalo. Pronto estaras bien"
83,"Están buenos los temas de biología, se entienden. Lastima que la divina de Cecilia siempre busca la forma de sentarnos a todos"
84,Buen diaaaa... Al menos hoy voy más tarde al trabajo porq ayer me quedé más de media h dsp de mi hora de salir...
85,"@marianabolonini es la sensación q siempre he tenido fte a la crueldad y el horror, además de la rabia... por qué? Es incomprensible..."
86,"Hoy se intento hablar de cannabis en Esta boca es mía y fue algo incómodo, hubo q elicarle a una chica trans cómo discrimina a usuarios"
87,@PabloMonti1 me esta pasando lo mismo hace una semana y n tomo mate estaré atenta a los doc matriculados q te den respuestas por acá jaa
88,"Extraño tanto a mi Bro Ale!Las salidas,los consejos,las jodas con la peña! Todo me hace tremenda falta!"
89,flor -que lindo lo que escribiste en tu tuit fijado -no se quien es pero espero que lo abraces -linda cuenta !!¡
90,"""La realidad es mucho más fuerte que la ficción, la realidad huele, tiene familiares llorando"" @mikelayestaran Gracias por la skype-call!"
91,"Curioso. Entre ""a mi nadie me pautea"" y ""me entere por la prensa"", ahora queremos un periodista lider de opinion presidente. Genial"
92,"@mor_ticia no aguanté a la trotsky, sali a fumar y aparecieron unos tipos re cargosos a hinchar los huevos asi que me fui antes"
93,"Se siente la risa a carcajadas de fondo ,de la madre y encima aplauden ,un horror con esos amigos ,no precisas enemigos nena"
94,@pulsionparcial Derrota por amplia diferencia?
95,"@VeronikMGWV hoy dia tiene 9 meses mañana te paso fotos actuales ,si es un zorro adorable ,llego a mi vida en un momento justo lo adoro"
96,"No compitas con nadie, no tienes que demostrarle nada a nadie, no tienes que llegar a donde otro llegó, solo superar tus propios límites."
97,@ElCrull Jajajaja a que mala impresión
98,En la Red dijeron que si llega pablo Perez le abren la puerta de salida a Mendez maal mal mal deben jugar los 2 junto a Toro
99,Cuando la comunidad del lol es una mierda  Pero la de Pokémon es buenísima Pero salió Pokémon GO y ahora son todos possers
100,@UnBolasTristes En eso tenes razon jjaaa
101,@AlmaHistorica doy fe son espectaculares!!
102,"@andyygmes eres como muy tierna jajaja justo veía el ""40 cosas"" me lo pase genial! Si algún día voy a Berlín sería genial verte"
103,#Fiebre #dolorentodoelcuerpo... con #hijobello de enfermero e #hijospeludos
104,@OTROGUAPOSUELTO @ModaDiceEs @vine YA ME INSTALE LA APLICACIÓN Y ME COMIÓ EL COCO !! seré un inmaduro? Tengo 34 pirulos : p !!
105,Informatica (computación) - 8 No se porque tengo esa nota si yo lo único que hago es entrar a hangouts y chatear con gente rara
106,"@Cybertario Es como ""no escupir para arriba"", me extraña que el corporativismo (o las transnacionales lo hagan ir a lo literal"
107,@vmayo72 yo si esta lindo me voy pa la feria ! hoy fui y lo único que compré fueron 5 paltas a 100 mangos
108,"@TownGamePlay Townsitoo, podrías saludar a mi mejor amiga Titi? es animatowner, y está pasando por un mal momento familiar Gracias!"
109,El propio dolor de panza
110,@cuervotinelli @elchatoprada @hoppefede @ElchuecoSuar Buenos días !! ...
111,"@visigoten el folio lo tenía en cosas de su oficina mi padre, se jubiló y di con el. vi si quién es coordinador general!!"
112,"@zeta_dos Ojalá todo sea para bien, pero veo en este gobierno vicios distintos al anterior, pero fallos en fin. Pero ya se verá q pasa."
113,Leyendo el fin de los tiempos y escuchandi mumford & sons... todo esta perfecto
114,"En mi vida siempre pasan personas, De esas que valen oro, pero nunca vas a tener. De alguna manera es muy lindo ilusionarse"
115,"@_pepepar Bueno, eso viene por el lado de los apellidos. Hay quien usa apellido doble porque el 2do tiene más alcurnia que el 1ro"
116,"@leonardo_veglio Tu argumento es un poco personal. Pero sí, las cosas se terminan. A algunos en 115 años, a otros en 15"
117,"@VickyMarquez__ Si le pareces fea no te la comenta , te quiere re garchar pero no sabe como decirlo y un ""Linda"" no queda"
118,"Voy a intentar jugar al truco, al que le toque jugar contra mi internet lento, perdóname, no es mi culpa"
119,"@Maapolinski Bastante ridículo. Incluyendo eso de que parte de la morosidad es de ""afiliados que murieron"" y no fueron dados de baja"
120,esa no me gusta sorry
121,".@cocoramazzi Ja, ja, muy gracioso. Teniendo en cuenta que tu posteo inicial es el elogio de un artículo lleno de odio y resentimiento."
122,@RufinaCamejo Ud. dele que Ud. puede. Y si te critican les tirás que lo hacen porque sos mujer y estás salvada @diego_vallarino
123,@JuaniTinelli_1 Tqm !! Tas re grande y linda Besos para tus hermanos  !!
124,@2891891cap me qedo en lo de joaco tengo q agitarlo para ir algo difícil q vaya y q me deje ir sola menos asi q no se
125,No puedo creer que estoy llendo por una hora sola al liceo nono que onda voy por 45 min nada mas mejor no podia ser
126,@elchatoprada @hoppefede Buen día !!
127,"@cuervotinelli Buen día P@!! , excelente Viernes , te veo hoy a las 23:00 hs .TQM  !!"
128,"@AlpioCosta hola, hace mucho q no t veo @arribaarg q pasó? te veía todos los dias desde Uruguay.la verdad q se t extraña chiquilin. volvé"
129,"@cuervotinelli @elchatoprada @hoppefede Recién llegue del gym VOLANDO !! , así los veo , duchaso y toy listo  !!"
130,Y un poquito de vino..
131,"Plan familia a full, después una linda recorrida por Argentina. ¡Volvimos nuevos y contentos! ¡Viajar y tocar lo máximo!"
132,@daphneedenis corazón lleno de odio!
133,"@cuervotinelli Buen día para el Conductor televisivo número 1 de América  .TE AMO CON TODO MI CORAZÓN P@;3, te veo luego a las 22:30hs"
134,@ElDemonioAzteka prefiero la verdad por más dura que sea y no vivir en el engaño de la mentira !!! Te mando un beso desde Uruguay
135,@TipicaLoca que lindo ! en casa entró uno y no podía salir y se dio contra un vidrio y lo agarre para sacarlo y son super suavesitos
136,@vivianagarcia73 @anitafb Muchas gracias Sandra por tu ayuda y esperamos que los tips sean útiles para Anita. Seguimos en contacto!
137,"@cmenghi A menos q seas empleado de Riogas, Alur, INR, IMPO, vicepresidencia o cosas así. Tener título está sobrevalorado @Nico_Selser"
138,@cuervotinelli Muy buenos días para mi papá que lo adoro con todas mis fuerzas  ... Excelente Martes !!!
139,".@sebafle @diego_vallarino jaja a mi favor debo decir q tampoco es un descubrimiento mío, sino de mi hermano,y aseguro q es independiente"
140,"@mister__lemon No, claro que no. Es convenir aspectos puntuales en los que haya acuerdo. Helado y con barquillo, pero varía el gusto"
141,"Haciendo el Notitest de @TelenocheOnline, me salió ""Eerto en Noticias"". Que veterana que estoy"
142,Y estavamos los dos buscando la manera de desir quien de los dos da el primer paso.!! #ESCUCHANDO #DOSOGAS Sola En Casa...
143,"@MHackem No Cecilia, lo que hacemos está muy lejos de ninguna aplicación práctica. No me arrogues méritos que no tengo"
144,"@felipefskl No necesariamente. Quizá se necesita alguien que apueste a ganar mintiendo, por única vez, y haga lo que hay que hacer"
145,@TipicaLoca lindas ! y son super mansas ! las fui apurando tocándole las patas traseras y se tomaron su tiempo ! no las apuras mucho...
146,"@golden254 @yapeze Jajaja! Sí, leí! Creo que por acá no los tendremos hasta el 2018, por lo menos."
147,@Lpauletti Comprobado: Se puede estar en el fondo de un pozo...y seguir cavando la propia fosa. Y aun hay gte q definde
148,"@cuervotinelli miércoles, sábados y domingos son los peores días para mi TE EXTRAÑO !!"
149,La negra Mel que se haga del Bolso tamos todos los compadres y ella de galli deja nos re gozariamos en la abdon negra
150,"@BrandonBouer aunque ya no hablemos,no me olvidé de tu cumpleaños #Felíces21 Bouer!!,espero que te la hayas pasado de lo mejor,saludos"
151,Necesito ir a la peluquería pero no quiero ir a un que me deje el pelo horrible como la mayoría
152,"@quijanojor jjajajaja. Mi segundo amor es Rampla, el equipo de mi papá querido... Gte de barrio, obreros, flia."
153,@htgawmurphy no vi el nuevo cap y no lo voy a hacer hasta que digan que caleb está en al menoS UN CAP de la s2
154,"La supuesta federación de estudiantes que opina y toma postura en cuanto tema de izquierda hay, no dice nada del universitario Sendic"
155,Tube que sacarle una tabla al ropero para que renzo ponga su ropa en mi lugar se pasa el pendejo
156,@Tocinitas @sessh0marusama gracias a las 2! mi amiga necesita lectores El fic (por si no se ve el link) está el link en mi tw fijado
157,Me tiene podrida no ver
158,"@cuervotinelli @demianchildemb1 Un solo corazón !!. Te amo Viejo :*, que descanses, me fui a dormir... Me gustaría soñar con vos"
159,Recién grabado el Nuevo vídeo (Ahora a entrenar una horita y luego baño como algo y me pongo a editar) #BuenLunes Para TODOS #FelizLunes
160,@KesmanAlberto Sí increíble! Mi madre decía que eras tú y cuando dijeron que era Solé... Pensamos: es igual a Kesman!
161,@Adri_tranqui eso ! en no escuchar el despertador ! y te dormís nervioso ...con miedo...y peor es cuando te acostumbraste a dormir tarde
162,@ciudad_com @cuervotinelli  !! El más lindo de todos ...
163,@RoSo_54 te acordas de lo que decía el ñato al respecto ? pelea a muerte con novick !
164,98% de los circuitos escrutados en Colombia. 60% de abstencion. Gana el No. #PazParaColombia
165,"@psaccone @GGhelfa Es cierto, estimado. Pero el dcho de opinión lo tienen todos los hinchas de Peñarol, somos más de la mitad del país."
166,"@juamigcaz es muy responsable y profesional, pero además va muy bien con el estilo de tu club, tiene mucha garra. Un crack!"
167,lo peor es que no voy a poder ver el cap de greys hasta que vuelva de clase
168,@DonVascolet Lo echan al toque jajajaa
169,Una Fiat Panorama del 78 encendida fuego al lado del cajero me dio una lastima solo quedo la chapa y el chasis y un poco el motor
170,Un amigo no para de mandar fotos de tremenda borrachera diurna en Melo y uno acá estudiando al moderado de Montesquieu. I'm suffering
171,@Nifunifa4 Yo no trabajo ningun feriado
172,@Sofiarayl feliz cumple sofi!! justo hoy no me toco ir al canal!! Que pases bomba!!! Beso grande!
173,¡Qué lindo escuchar que estás muy comprometida con tu trabajo @vivianagarcia73 ! Ojalá ganes muchos más proyectos freelance
174,Jajajaja mejor que no me la robes Igual vos empezaste!!
175,3:23 AM instalando todo en un celular de emergencia y a ser paciente porque es lentoooooo pero me salvo otra vez
176,Hoy quedo pronta la tapa. Y que dificil se hace aceptar tu ausencia... Viejito mio te extraño mucho
177,No tuviste infancia si no mezclaste todas las plastilinas con la esperanza de que quedara multicolor y te quedó una cosa marrón asquerosa
178,@cuervotinelli Podes hablar con el Gurca?? YO SOY PUNTUAL !!
179,quería meter siesta entre sesión y sesión de la confe pero ya casi aranca la segunda parte
180,"@abbu25 compre ""Hasta Borinquen"" por internet a ver si aprende un poquito y no dice bobadas!"
181,@GermanDeJuana Bon jour German Buen día
182,"Increíble ellos @rafacotelo @diegodelacurva acá en Melo, unos grandes!!!! Voy a cholulear y pedir foto"
183,"Uhhh, no me había dado cuenta de la hora tremenda que se hizo. Habrá que despedirse hasta mañana... o hasta algunas horas, je."
184,@shxwngold uy jajjaa bueno lo siento
185,@javierandresh amigo mio no se si es más complicado que te hable una piedra o alguien a quien el corazón se le hizo de piedra
186,Es tarde ya bendiciones mimosos
187,Anto te extraño veni a cuidarme
188,"@Jayah29 ah ta, me pareció por tu twett sobre el petiso que aparentemente no era lo bien dotado que esperabas"
189,"@cuervotinelli Buen día P@!!, Excelente Jornada de Viernes, TE VEO HOY A LA NOCHE  !!"
190,"@cuervotinelli @elchatoprada @hoppefede Buen Día !! , que tengan un excelente fin de semana y un buen descanso merecedor  !!"
191,@felipellambias está claro que hay clientes que pagan agencias para hacer lo que quieren y no lo que corresponde. Queda camino x recorrer
192,"Levantarse muerta de sueño, sentarse en la orilla de la cama y quedarse mirando un zapato"
193,"Hoy transité un rato largo. La frase que más escuché fue ""arrepentido... de haberlos votado""."
194,@leot1971 @topyman980 lo de nacional ! en este campeonato creo que no va a haber #PenalParaNacional ! no hubo arreglo
195,@Adri_tranqui yo estoy trabajando en frente de una ventana abierta...buee lo de trabajar trabajar voy y vengo
196,"@dosogas Buen dia mis amores, no fui al liceo(sisisiiis) ja tremenda bobita jaja LOS AMO"
197,@FabianImaz es solo para estresar a @kzfabi @NETConfUY
198,Había alerta y yo vine igual
199,q ladilla que sigan usando las caritas  >.; y todas esas parece q tienen un retraso mas grande q no se
200,@joaqtor Hola Joaquín! Si buscás acceso a la API envianos un mail por MD y te contactamos con el equipo de tecnología. ¡Saludos!
201,Un mes entero moviendolo al mijo para no poder ir en el. pero bueno trabajo es trabajo
202,Que genial ir parada a minas
203,".@alefpiro ¿Nunca escuchaste la eresión ""el último orejón del tarro""? Bueno, como son más de uno son orejanos"
204,"@Flor_pistone hola hermosa!,espero q estes bien yo me voy hacer noni q estoy cansado beso divinaaa"
205,Me hacen quedar como un zorro lpm pero todas las minas que me nombran están re buenas matense
206,Que feo no hablarse mas con alguien y pasar todos los dias por la esquina de la casa
207,@migueldobrich gracias queridísimo ! Buenísimos la charla. La escuché esta tarde y sonreí mucho
208,"@CarolinaAche Decirle a una dama que espere sentada no es muy gentil, pero tu comentario rebosa ironía"
209,@grazianopascale @Arq_fmartinez el nivel de delirio en los dirigentes es preocupante por decirlo sutilmente.
210,me quemé las dos nalgas jajja
211,"Bueno me fui a dormir que mañana tengo que pilotar la nave otra vez, saludos, que tengan una linda noche"
212,Es el mejor sin duda alguna
213,@Adri_tranqui bajé el vidrio por que esta sucio del temporal pero era demasiado fuerte el sol y lo subí de nuevo y la saque así
214,A lo q tengo las uñas todas comidas me quedó re mal el esmalte
215,Mas feo que te quiebres
216,@kzfabi vivís de joda .. y siempre donde vas hay cerveza... no necesitamos ML ni IA para acertar eso ehh @FabianImaz @pp_uy
217,Espero que le haya ido lindo
218,@alefpiro ¿Te fijaste en el detalle de que los viáticos de la edila los usó para invitar a cenar a un par de amigas no edilas?
219,"@Aquicolobanco @Ropher_ ahhhh sí, ubico, muchas gracias, es q no tenía idea de cómo se llamaba esa zona. Acabo de aprender algo nuevo."
220,@veronicacriado gracias a vos por la buena onda y por sumarte hasta con GIFs a la iniciativa.
221,Seria tan feliz si se me va el dolor de cabeza de una vez
222,@ignacioalcuri acá en vez de meet n greet se podría hacer Meat n greet con un asado de por medio
223,@lilovilaplana Gracias por Compartir hermosas fotos
224,@mister__lemon L'Oreal fabrica tb productos para hombres. Pero el grito de indignación que habría si hubiera un premio sólo para hombres
225,@Anaterran @victorita_fest @Nifunifa4 el año pasado no dio muchos
226,@nunez_rodrigo @SushiPopARG Hola Rodrigo! Por favor envianos tu mail de usuario y te derivamos con el equipo de atención al cliente.
227,"Si me pagaran por fumar tendría la vida resuelta, pero desgraciadamente tengo q pagar para fumar"
228,Yo no tengo familia soy buerfana
229,"@pbuydid Es muy importante q haya hombres tamb como tu caso, q se suman a la campaña contra la violencia."
230,@TipicaLoca se ve que hoy no es tu día...que termine rápido
231,@eZuajii_ tan al pedo estás para hacer esa mierda de inspeccionar elemento? Si tan real es andá a tu celular y pasa screenshot
232,Me pierdo la ultima fecha
233,en teatro es puro bardo ya toy perdida chicos aiuda
234,Extraño el ir a quedarme a su casa un día antes del campamento para irnos juntos!! Que tiempos!!
235,"@mister__lemon Taxistas, empleados del gobierno, familiares de Martínez y Dourado... @LeoVeigaSanchez"
236,Me siento débil No rindo como hace DOS PUTAS SEMANAS. No puede ser la concha de mi madre. No puede ser.
237,.@LeoVeigaSanchez La opinión es contundente. Y no parece discriminar por partidos
238,"@BeeeluPereez no, porque te portas mal"
239,@MariaFederica8 @M_Mandariin vamo a tomar un mate depresivos de merrda
240,"Es así, siempre que me gusta alguien vive en el culo del mundo jajajaja harto de fracasar"
241,¿Quién es el peor de SA? Voten @Mquuro @xJuanDiz @ZockClient
242,porque no quiere llamada?  fav si sabes de quien hablo
243,"Todo el mundo me dice que soy re enana en los bailes, yo no entiendo, si estoy yendo con championes de plataforma"
244,"@dannyviLe Si el propósito es erradicar las armas de la calle, el método es eficaz y eficiente. No sé si justo @dlarrauri"
245,"@dannyviLe Una variante moderna sería que vale la pena hablar bien, así cuando puteás tiene mucho más efecto @mvdsister"
246,@carinanovarese @danieldaners la derecha de este país duerme ! ya tienen que ir saliendo para ser observadores en esas elecciones !
247,@_anatabeira ya tengo eeriencia en desarmar ! pero este es el primero que no lo dejo desarmado...
248,"@josilopez_ @0hmyvolunteer ta voy a llorar, quiero más películas iremos a ver más de jen, pero no será lo mismo, no hay más thg"
249,"@abbu25 jaja muy buena ! el tipo le dice al hijo q no está preparado y la gente lo votó como ""el"" candidato !"
250,Tengo hambre de la tonelada de comida que cocina para mi mamá todos los fines de semana
251,"Nunca hablamos por privado, 1era vez que lo hacemos y es porque me mande la cagada del día."
252,Si se enoja bueno ya no corre mas esa de callarme lo que siento. Estoy re sincera y eso te duele
253,"ya se olvido de lo lindo q la pasabamos , manuel tenes que crecer vamoo q tenes casi 20 años no podes pensar en ella ya"
254,"@dra_eutanasia es correcto. Muy bien vos, hay que seguir así! Habrá que meter un asadito!"
255,@susanagkp @gracesusan1958 @maqui13 si es así esta perdonada !
256,"Simplemente tengo una lesión en el talón, pero tengo que hacer recuperación igual estoy bien"
257,"@RufinaCamejo Si fuera mal pensado, diría que es un arreglo entre el pintor y ellos para cobrar más @CesarAMartinezR"
258,"@cuervotinelli Buen día Papá !! , recién me levante...  QUE VERGÜENZA POR DIO!! Onda @charlotte_chc TREMENDO , me voy hacer un café..."
259,El tiempo está conspirando para que yo no engorde! Es la segunda vez que se larga la lluvia cuando voy saliendo a comprarme bruto postre
260,@jpalummo hogares cómplices no es el mejor término. Sufren la Violencia en Silencio por Generaciones. No denuncian.la tienen naturaluzada
261,"Tengo una nueva mejor amiga y se llama mandala, me estaria alegrando el finde o casualidad el dia de la despedida de soltero"
262,"@Claudiosk_23 aguanten las canas en los hombres, deja de negarte! lo de calvo si ta complicado... jajaja"
263,@mechibasso Necesitar se necesita. Claro que hay gente que piensa estar por encima de esas minucias burguesas @Cybertario
264,Extraño mal a la enana vo lpm no se ni como esta
265,"@cuervotinelli Papá me llamas ?? 095327750 ... No me siento muy bien ahora , toy como triste..."
266,"@alitamontevideo como estas Ali ,me parece de muy mal gusto ,te cuento algo hoy se inaugura en Paysandù una peatonal de una cuadra"
267,"@santiagochirico ñery siempre fuiste uno de los uno , solo que vos no tenias la confianza para darte cuenta"
268,"@guillevaldes Que lindo está @cuervotinelli hoy todo de Azul , alguna vez te dije que vos SOS La Madrastra Perfecta  bella mujer!!"
269,@RufinaCamejo ¿arte?¿religioso?¿tener?... ¿cambiamos de tema ya? Pensé que hablábamos del cuadro. @mister__lemon
270,Mañana tengo que ir a visitar a mi primita hermosaaaaa
271,Claro @SarahnChile El networking y creación de contactos siempre ayuda para futuras oportunidades de negocio y trabajo
272,@candetinelli veo que me desactivaste los comentarios en las fotos de instagram ... Yo igual te quiero Lele
273,Jessica me hiso cambiar el perfil de wspp -. Y poner una foto con ella
274,@Natt985 #ViernesDeComidaChatarra en mi laburo es así
275,mi hermana es mejor que la de todos usteedes jeje
276,"Agustín marco mi vida, la cambio por completo y eso no me lo voy a olvidar nunca, GRACIAS"
277,@__josejuan__ @jneira suponiendo que la terra este cableada en el tomacorriente de la pared
278,Cuando yo intento creerte te burlas y mientes de nuevo
279,"@BrunoVuan Vos sos mucho más eerto que yo. Yo soy solo un amateur (pero convencido, eso sí)."
280,"Aveces siento que no le caigo bien a mis seguidores ,aveces son tan negativos y malos"
281,"@LaloCosta96 Esta bueno que cites el tw, porque cuando ella entre sabes que va a entrar a tu perfil y va a ver esto"
282,"ahora q se terminó #GilmoreGirls hasta el 25, le meto a #Bones... porq siempre es necesario estar mirando algún capitulito"
