|Content|Sentiment
94|Nada más bonito que ir en bus lleno y que alguien comience a toser como si se le fuera a salir un pulmón|N
95|@atrejoscr se ve fea en general|N
96|@GaboJimenex jajaja. Yo me pegué el susto de la vida, y luego la espera por meterlo al taller de iCon. Pero ya está vivo.|NEU
97|@dimar1712 tan linda Diana, muchas gracias vamos a ver cómo me acomodo ahora con trabajo nuevo, cuesta un montón yo te apoyo desde acá!|NEU
98|@GrupoPandora y son 30...30 años de acompañarnos,30 es mi edad y he crecido de la mano con ustedes MIL GRACIAS, atte: Ale|P
99|@AleeSeke ooops cierto. Me mata @raqueabr02|N
100|Nota Personal: No ver videos de noche sobre youtubers comiendo no ver videos de noche sobre youtubers comiendo no ver videos de noche|N
101|Cosas q debemos usar para simplificar nuestra vida: el cerebro, sentido común, una sonrisa y eliminar a quién no nos interesa. Simple|P
102|UNAM, mil gracias por todo, te prometo en los siguientes 3 años titularme, aunque me haya costado 13 llegar hasta donde estoy hoy|P
103|rajado, cuando pasan 16 años te das cuenta que unas cosas cambian si..otras se mantienen para dar tranquilidad en los dias libres|NEU
104|@Starbucks_CT Hola , queria preguntarte si el nuevo cafe Chiapas, es el mismo shade grown porque voy a hacer degustacion pronto ...|NONE
105|@jkriptos @lmongeb Jajajajajajaja! No, soy la que consume no la que las produce. Saludos Jason que disfrute ese súper viaje.|P
106|Mi mamá adoptó una gata que dejaron botada al frente de la casa, si alguien necesita gatos me escriben, tengo 4|NONE
107| @rafa514x será que un   entreno   es un entrenamiento   artesanal  ? Digo, como ahora todo es   artesanal  ... |N
108|@ushcala Esa es otra buena idea. Aunque la dinámica de él a sus 9 y la mía esa misma edad es muy distinta.|P
109|La vara es que ya tengo como 3 quiz, una eición, dos exámenes, un ensayo, y lo peor es que mis vacaciones ya casi acaban|N
110|@xylefTheBarber de comics y de humor negro no y estaré tiempo fuera de youtube, si logro volver es con una idea diferente y cool|NEU
111|@D4rkusPl4y ah era hoy? mañana durante el día puede llamarme y con mucho gusto a plena luz del día no en lo oscurito en barrios mierda|N
112|@andreareyes6767 hola odiosa me hace falta|N
113|Ocupo que den un secret passcode para que las beliebers compren las entradas antes y después las que sobran las ponen a la venta normal|NONE
114|Me siento triste y solo|N
115|Si por aca hay algún chico o una chica mayor de 18 que busca empleo para temporada navideña en tienda, que me ponga un Dm|NONE
116|@sancarlena77 JAJAJA. Por cierto, hasta ahorita me percato del username. Y yo preguntando dónde vive. Soy un imbécil. Perdón.|N
117|Fijo a esa mae algún famoso le dijo algo, entonces por eso se cree la mas rica y solicitada del puerto, es mi opinión|NEU
118|No salí el fin de semana porque hoy tenía examen y salgo del examen y nadie quiere ir por una torta chilena|N
119|@diegodelagos Ayer la gente de mi FB se portó mejor que la de mi TL de TW en relación con el tema de los himnos...|NEU
120|Bienvenida a los juegos mentales|P
121|Quiero cambiar de posición el cuarto pero soy tan indecisa que si después no me gusta me voy a sentir mal por una semana|N
122|@WancitoCubero horrible muy buena pero devastadora|NEU
123|No son ni las 9am y aquí estoy a moco tendido, llorando con una pelicula con Cameron Díaz que se le muere la hija|N
124|Todos queríamos ver las 2 ticas juntas en la final pero así es esto , ahora le toca a lei q avanza a la final #VISSLAISAworldjuniors|N
125|@tatisalvaradop Mañana si me duermo en la oficina le cuento para que se sienta culpable *busca el cofal y las pantuflas* Bonita noche|NEU
126|Misión cumplida del fin de semana, fastidiar a Mario, en broma verdad, hola feo|NONE
127|@luisdbatallar esa tabla es muy reveladora|NONE
128|Que cargados de odio están tengan se escuchen música abracen salgan de vez en cuando con los suyos y vera como se le quita|N
129|@FilarmonicaCR ¡Gracias! P.D. Sigan adelante con sus maravillosos trabajos. Quizá algún día un tributo a Soda Stereo jeje|P
130| En   X   gimnasio me iban a cobrar como 330mil colones en un año. No me matriculé y estoy haciendo las matemáticas para el siguiente viaje |NONE
131|@BurodeCreditoMX por curiosidad intenté en 5 bancos distintos y en todos declinado, pero mi reporte está en verde y mi score también|NONE
132|Mi consejo de hoy es: Si quieres que esa persona tan especial para ti nunca te olvide, pídele dinero prestado y nunca se lo pagues|NEU
133|Soy la peor basura del mundo porque, justo hoy Andrea tenía que verme con otra mujer, que mal me sentí.|N
134|Me acosté súper tarde ayer (para mis horarios normales) y ahora no puedo seguir durmiendo porque no aguanto el calor de estas horas|N
135|@titabobra Si llegamos , únicamente pedimos un poquito más de tiempo de lo normal y los tel: 2225-3080 / 8827-1559 .|NONE
136|Lo mejor que puedo hacer hoy es dormir porque estoy a punto de llorar, no fue mi día en serio.|N
137|@uiGitsu siempre se aprende algo nuevo|P
138|¿Será normal este odio-amor con mi hermana? Ni siquiera me respeta Me mandó a lavarme el culo al río lagarto.|N
139|Por la mañana hazme saber de tu gran amor, porque en ti he puesto mi confianza. Salmos 143:8 Buen día a todos|P
140|Bonito cuando pasan a fumigar|N
141|Ya está listo el puente peatonal por mi casa...ya no tendré que dejar de jugarme la vida cuando voy al auto o al cajero|P
142|@FranzUgarte @UnAutenticoCule asi tiene que ser .. yo m alegro solo si el barca pierde en algo qe influya a madrid cmo la liga ayer tuani|P
143|Que rico que es dormir|P
144|@H_E_Y ya ahí si no sabría decirte generalmente siempre hace sol temprano, se llega a poner nublado es como luego de las 3pm.|NEU
145|Yo le escribo a la gente a la hora que sea porque mi ansiedad no me permite esperar a una hora prudente|N
146|@eliana_gab Lunes: Muerta estudiando Fisiología Animal (como ahorita) Puedo sábado o domingo ¿Pa' qué le soy buena?|N
147|Mis tenis fueron las primeras en ser compradas y no han llegado todo el mundo con tenis nuevas y yo aquí, zad.|N
148|@Frimiralles que delicia, si estuviera más cerca fijo le llego con el tupper. Pero 200 km me separan de su pozol|P
149|@ang_qs_flp mi corazón despertó! mis pasos siguen lo que dicta tu voz, mi sueño siempre va ligado a tu amor|P
150|Esta ceniza me tiene mala ya. Ando con alegría y me arden los ojos, no puedo usar lentes de contacto.|N
151|Mañana tengo examen de química e inglés, y aquí estoy acostada, con el celular, conciente de que no se ni que temas me entran|N
152| @me_mata la historia de tantas en todos los países Latinoamericanos Una mierda nuestra seguridad y ese maldito concepto de   macho   |N
153|Buenos días @luisguillermosr. Hace una hora y media salí de Cartago y apenas estoy en Zapote. La gasolina está cara y con presas no rinde|N
154|@DCBlancoQ o ya lo está hola|NONE
155|Entre lo positivo, está el hecho de que no tendré esas responsabilidades extra que adquiría sí yo quedaba electo. Pero mae yo quería|NEU
156|Aunque el día no empezó de la mejor manera, queda en uno decidir que tipo de día se quiere vivir.|NEU
157|Independientemente del resultado, me queda claro que Tigres va a en la próxima fase de la CLC|NONE
158|Pues que estoy hablando y en eso me sale el lado ñoño que esta dentro de mi todo mal yo hablando de trastornos de personalidad!|N
159|@OllieGamerz Soy la peor del mundooooo. Se me olvidó la fecha de tu cumpleañooooos. Sorryyyy Felicidades bae|NEU
160|Me despierto a las 6 de lo más tranquilo y relajado, me despierto a las 8 y amanezco cansado y enojado|NONE
161|Mi mamá me maquilló super chiva para halloween, y todo lo grave en snap snap: nayma_vp|P
162|Mañana se madruga para ir a trabajar a la casi frontera norte. Si puedo me paso y voy por Toñas y tostones|NONE
163|@Saramallow los mismso problemas que tenía del otro lado, solo que solo iba un día a la oficina y mi vida era una ilusión|N
164|@mapashito73 excelente por mis eectativas y por supuesto voy a a estar pendiente para verla lo mas pronto posible, gracias|P
165|Soy de esos que, aún cuando la comida esté lista y tenga hambre, si no me sirven me da pereza y no como|NONE
166|#ChampionsxFOX Me pueden mandar un saludo desde Costa Rica viendo al Sporting y a Bryan Ruiz, porfaaa!?|NONE
167|@Nats_Castro vaya a cafetear sola o por un traguito o así, a veces es lindo darse ese tiempo para uno|P
168|Vi que tengo un vecino TAN guapo. Lo peor es que no sé ni cómo se llama|NEU
169|El fin pasado le rogué demasiado a mis papás por unas Nike, y no me las compraron|N
170|mañana hay entrega de trabajo final y yo aquí muy zen desayunando en paz sin tener ni media página escrita... ni las fuentes|NEU
171|@luisangelzr fijo tenia un amante bandido esperándola #AsiSon|N
172|@dankenzon imagínate! Si cuando uno saluda a alguien que está saludando al de atrás se siente feo.. me da miedo ajeno|N
173|@_monsejimenezp Jaja que dichosa! pero entonces cual es la excusa para ser tan repugnante?|N
174|Días como hoy agradezco no tener carro. Andar con el hígado hinchado por saber esos marchamos, mejor ando en Uber jaja|P
175|Siempre que veo pasar deprisa a una ambulancia de soporte avanzado, se me hace un nudo en la garganta y me vienen malos recuerdos|N
176|@LaEscude Sí, a mí también me gustó mucho, pero como todos esfuerzos sociales de Google, el problema es crearles volumen de usuarios.|N
177|@katty_Loz empezando xq en mi twitter solo jodo a Darkus pasatiempos tengo muchos una cuenta de twitter no me define #UseLaLogica|N
178|Hoy es el concierto de Metallicaaaa!!! Uuuuhhh... lástima que no voy la wea triste|NONE
179|Chema en esas y todos en la oficina deseando que vuelva a la oficina y a dirigir la empresa mejor...|P
180|Cuando no sepas que hacer nada mas hagarra tu celular, unos audifonos y despeja tu mente!|P
181|De hoy en ocho nos dan las camisas de undécimo, y yo ni sé si voy a lograr sobrevivir a la semana de trimestrales|N
182|Llevo más de una semana lesionada|N
183|@leonardodiazpor sos mi James gordeon favorito...|P
184|En una propuesta/solicitud de servicio lo que debe quedar muy claro son los ENTREGABLES. Si esto no está claro, habrá problemas.|NONE
185|@Ka_Arroyo_ y cómo mezclan realidad con mundos paralelos, y que es diferente a las demás películas de Marvel|P
186|@ReyDeLosBullies La quiero aniquilar. Desgraciada.|N
187|Yo hasta ahora veo el vídeo del pingüino no lo puedo creer. ¿Es normal que esté tan triste? Díganme que ustedes también lloraron.|N
188|No se pueden ver 2 series a la vez es lo peor #prisonbreak #blackmirror|N
189|Ese momento en que tienes que decidir algo ya y no tener una idea que es mejor|N
190|@Natticornia @YouNow ya volvió a esas mierdas porque no tiene a show de huevos es un día triste para el hombre araña...|N
191|Con lo que voy a gastar comprándome algo para halloween me compro una mudada y de paso la entrada en 5 mil|N
192|Acabo de recordar que existen los queques navideños y ya casi es diciembre para verlos por todo lado|P
193|Tengo que aceptar que me esta hundiendo el consumismo con la nueva Macbook Pro, la Gopro Hero 5, el Gopro Karma y el Nintendo Switch|NEU
194|@Javi_Guerrero97 vas a ser un gran comunicador|P
195|Princesa hermosa  Estas creciendo muy rápido Te Amo pequeña de tía|P
196|Voy a ver Armaggedon. Qué cinta rajado, muchas gracias a la persona que me la recomendó|P
197|Tengo una leve duda de que las fotos del meet acá en CR las van a plublicar hasta el año que viene|N
198|@Koalasoy es una teja ese cabrón. Si en el programa se ve agradable, en la vida real es el doble de buena gente.|P
199|Soy una anticuada, pero cómo me duele ver o escuchar a gente querida hasta el rabo|N
200|Sospechosa tarde navideña de octubre... #grinch|N
201|Ya me quedé sin wifi y qué flojera levantarme a encenderlo de nuevo mi mamá que no me quiere ;_;|N
202|@MeLlamoSara @bichoclarke @gabmmd los de cuero,papel y tijera. Que tenía uno visto desde hace dos semanas y le subieron el precio|N
203|@GermanJBH No me diga eso German, que triste jaja nunca había querido los gatos hasta este jaja|N
204|@sinceratops no me dijo nada nuevo, tranqui jaja. Si ve más bolsos lindos me los recomienda también, porfa|NEU
205| La típica que nunca ha dicho la palabra   picha  , siempre se la ha   comido  . |N
206|Últimamente no Twitteo porque no tengo ideas sobre qué Twittear 🤔🤔 ya me tiene feo el tec|N
207|Hay un grupo de estudio religioso en el sótano y están haciendo un bullón increíble. Yo sólo quiero ver mi película de putas|N
208|Es bonito tener orden en la vida; solamente hay que aprender y acostumbrarse a poner las cosas y a las personas en su lugar|P
209|...para regalar. Así que si alguien está interesado pueden buscarlo tipo 12md cerca de la plaza de la cultura, donde suele estar.|NONE
210|@treledo Ya pude ver la info, el hoario es de 7.30 a 4, no tenía idea de que se podía solicitar digital, gracias|NONE
211|@crampsattack fijo se me pierde, la vez pasada la encontré en la lavadora fumando rinso 1 semana|NONE
212|Era a la 6 que me quería levantar, no a las 5:15 con el ruido de una hijueputa licuadora gracias al descerebrado de mi primo|N
213|@NellaZ Listo! Muchas gracias Nella|NONE
214|Si Cofal o Zepol necesitan influenciadores en digital, hoy, después del pichazo que me pegué, yo podría ser uno.|N
215|No me han llegado mis películas de cine clásico que pedí así que veré algo básico como The Purge: El año de la elección|NONE
216|Hoy a Santi se le rego el pichel lleno de fresco, y yo parecia Senicienta por todo el piso JAJAJ|NONE
217|@fermeade Gracias a ti hoy soy muy feliz Descansa, que sueñes bonito. Te quiero un montón|P
218|Que feo estar sin celular|N
219|@ElCatoEnCorto @BooCr2012 @jchidalgo tengo criterios a favor y otros en contra, no lo tengo tan claro en cuanto al resultado final|NEU
220|Los recuerdos más importantes y los mejores vividos se quedan en el alma, más en cualquier otra cosa son borrables|NEU
221|Buenas noches chitos y chitas de mi TL.  Que sueñen bonito, así como con a yo|P
222|@JaenRodz jaja gracias igual mido 1.55|NONE
223|Erito es una mala persona|N
224|Cuando salga de exámenes me voy a meter al gimnasio y voy a tener un cuerpo lindo, y ahí es cuando voy a ser feliz|P
225|New Balance podría dejar de ser el patrocinador de la Sele o sea, camisetas feas otra vez|N
226|@MonumentalCR buenos días, último día laboral, me voy a vacaciones una semana. Éxitos en sus vidas y que sean muy felices|P
227|@Pandax14Cr @D4rkusPl4y si va comer gallina mejor quedese calladito, tomese sus pastillitas y siga echandole el cuento a youtubers|N
228|@Chepe_Centro bueno no es tan mala, tiene muuuchos elementos de las primeras dos películas (eso es lo mejor) y le agregan otros nuevos|P
229|Mi profe de comunicación se parece a la profesora Umbridge. Yo sé que en el fondo es malvada y nos quiere ver quedarnos.|N
230|Que me han dicho tantas veces odiosa que a veces creo que si lo soy pero naaah soy un amor|NEU
231|Ahora que trabajo tiempo completo me siento tan merecedora de los viernes como que tengo derecho a cantar The Cure (|P
232|@GloryPB Las maniaticas son lo mas divertidas|P
233|Ya casi me quitan los frenillos y no quiero aún los siento feos. Los necesito al menos un año más|N
234|En otros temas y aparte: la vida da muchas vueltas que curioso como cambian algunas cosas|NEU
235|@H_E_Y qué injusticia, yo no sabía guardadas porque no las quería arruinar.. y se me dañan en la siguiente puesta|N
236| Chiky en todos los eventos me dice   Mae échame a una amiga tuya   y nunca le he cumplido, soy una mala mejor amiga |N
237|Mañana debuto en percusión para leones chinos, ya puedo dejar de ser una samulnorian frustrada. Aunque el traje de Samulnori es más lindo|NEU
238|@mhariprada Por lo menos lo tenes ahí. No me acuerdo la última vez que yo vi al mío (amo esa canción, btw)|NEU
239|@PazBloise A mi me operan el lunes las 4 y leer esto es muy poco alentador Que sigas mejor|N
240|@Christ_Campos06 júrelo que lo reconsidero siempre, tengo insomnio y la ansiedad no me deja dormir + tengo e mañana|N
241|Pero yo hablo caca de todos lados, soy una comemierda democrática|N
242|@ilejarza ¡Es el mejor! Espero con emoción ese disco nuevo y deseo tener tiempo para digerir toda la discografía antes de morir.|P
243|El amor no dura para siempre|N
244|De nuevo quiero dedicarme solo a ser groomer y pasear perros. No saben la felicidad que me trae.|P
245|@marielabrenesv Ah entonces a ver primero Stranger Things, además que son menos episodios. Voy a ver si la empiezo ya|NONE
246|@KamilaR94 i told you mi batería es un ridículo, un 10% dura 5 minutos ahora. necesito que arreglen esto ya|N
247|@pamearcep Esa es la respuesta correcta jaja|P
248|Estoy en mi casa encerrada en el carro con musica full cuando debería de estar en algún lado|N
249|@JPR_CR con azúcar??? jaja yo solo con sal y limón, a veces le echo un poquito de Chile|NONE
250|@libadri perfecto. ¡Gracias! A ver cuánto me toca pagar este año, que ya 3 años he pagado lo mismo.|N
251|Primer vez en años que no tengo plan de Halloween, difraz, nada... solo quiero terminar de estudiar rápido y ver el partido|NEU
252|#Windows10 qué mal me caes... @Microsoft Para abrir cualquier navegador o aplicación es tan lento, torpe e ineficiente que da pavor|N
253|@presenteausente *suspira* puse picadillo de chayote con molida y maiz dulce, arroz con frijoles, y un bistec, así a lo sencillo|NONE
254|@arirs07 perdón jaja desde la semana pasada estaba por contarte, pero esta no podía|NONE
255|Apoyen a la Network @MCRoyalPvP !! Esta network tiene futuro !! P hare videos y directos ahi cuando habran|P
256|Lo que extraño de no vivir con mi tia es que ya no puedo ir a la playa o de peda con mis primos favs|NONE
257|Si me hubieran pagado el viernes estaría fuertemente de fiesta, pero no aquí estoy acostado en mi cama como 168 colones en la tarjeta|N
258|@JosePB17 su mamá va??? Yo también voy . Pero fijo ya ella no se acuerda de mi y yo soy distraida|NONE
259|Juro que todo lo veo borroso|N
260|La vez pasada hice una amiga de baño en el Club. Se llamaba Naomi. Saludos Naomi, te tengo presente.|P
261|Me siento tan inútil, pero bueno yo siempre he trabajo en las tareas pasadas|N
262|1 minuto de silencio por los que trabajamos en horario de Mall y no podemos ver el clásico|N
263|Hice el huevo frito mas perfecto de la historia y no le tome foto|NEU
264|@LuisRonaldMesen @amy_arom es simple! Mejor no arriesgarse, el q la consuma q la disfrute, yo mejor paso y ya|NEU
265|Yo no sé ustedes pero mi mejor amigo al chile es EL mejor amigo y lo extraño #zad|NEU
266|@Javiercd18 Jajaja es que te pones a buscar defectos en una buena iniciativa de redes Yo también te quiero y me haces falta.|P
267|@Emilio_Botas cuidado y se enamora de la suegra, porque vieras que señora y que mano tiene para la cocina, y dicen qe panza llena corazón|P
268|Entre todas las miles de personas a las que le podía haber pasado eso, ME PASA A MI -.-'|N
269|millennial memorial: cambiar contraseña wifi con el nombre del gatito amigo de boabdil que se acaba de morir|NEU
270|Regalo hermano menor tiene 16 está en plena adolescencia y es insoportable, el que lo acepte lo invito a comer|N
271|No me niegues, Señor, tu misericordia; que siempre me protejan tu amor y tu verdad. Salmos 40:11 Buen día a todos|P
272|@Jenyeerimenta Yo a él lo amaba desde hace 3 años y ya es demasiado común jaja|N
273|Mi estomago dice mozarella sticks y mis huecos post operación dicen puré y gerber.|NEU
274|Me siento más ignorada que de costumbre lo bueno es que soy estudiante universitaria y en vez de lamentarme puedo aprovechar el tiempo|P
